news,articles
"SRINAGAR: Two journalists based in Jammu and Kashmir’s southern Anantnag have been formally detained, reportedly under Section 107 of the Criminal Procedure Code, and sent to the district jail, days after they were locked up in local police stations for 'questioning'. Section 107 CrPC pertains to the powers vested with an executive magistrate who may order detaining a person, he thinks, could commit a breach of peace or disturb the public tranquility, for a period not exceeding one year.  The families of these scribes Salam Shah and Suhail Dar said that they were recently detained at the police stations for “questioning” but shifted to the district jail on Thursday after being produced before a magistrate. The police had asked for eight days remand of both Shah who is the editor of an online newsweekly magazine –Kashmir First- and Dar, a freelancer, a report said. But the magistrate, as per the local news gathering agencies, gave only two days remand, following which both were shifted to Anantnag district jail at Mattan in the afternoon.  Dar’s family said that he had received a phone call at around 4 pm on October 8 asking him to report to the Sadder Police Station, Anantnag. Shah was picked from his home in Sheerpora area of the district on October 12 by the police, his brother Imran Shah said. The police has, so far, not issued any statement on the detention of the scribes. The reports said that Dar was detained in April last year also over posting some “objectionable” photographs and videos on his Facebook page. He was booked under Section 505 of the IPC but was bailed out by a court after 25 days in the case. ","['109', '258A', '134A', '134', '135']"
"Mangaluru: Customs officials at the Mangaluru International Airport on Friday seized 681 grams of gold worth Rs. 34.32 lakhs. The gold was brought from Dubai by a male passenger hailing from Sullia in Dakshina Kannada district. The accused arrived by Air India Express flight had smuggled the gold in paste form, the customs officials said. A case has been registered against the passenger, they added. ","['330', '332', '363A', '132', '243D']"
"Hyderabad: The Cyberabad Police arrested the MD of Sandhya Conventions, Saranala Sreedhar Rao, from his hideout in Bangalore on Wednesday night and lodged him at the Cherlapally Central Jail under a 14-day remand. Police said the arrest of Rao, 45, followed a complaint on November 12 from Chaitanya Krishna Murthy Gogineni, the designated partner of Rowa & Company Associates LLP. It stated that the RCA firm purchased two office units on the ninth floor with super built up area including the 40 per cent common areas along with two lots in Sandhya Techno-I situated at Raidurgam Panmaktha Village in Serilingampally.  As per the FIR, a copy of which is in the possession of Deccan Chronicle, the complainant(s) also purchased the proportionate undivided share of land equivalent to 17 square yards and the said office units were registered in the name of M/s Rowa & Company Associates LLP by the developers on January 7, 2021. “However, when they visited the place the next day after giving prior intimation to the office unit developers to take physical possession of the property/office units for undertaking necessary internal works, they noticed that the construction work was incomplete and the space was not fit for occupancy. They informed the same to Saranala Sreedhar and Srujan Sen, but they ignored this.”  In April-2021, they were invited to the office of Sandhya Elite, situated at Outer Ring Road, Gachibowli to discuss on the delay of the construction work. “Saranala Sreedhar threatened them with dire consequence vis-a-vis release of their office to his company at the same cost when they brought it for him but they (refused to do so) and left from there.” “On September 15, 2021, they visited Sandhya Techo-1 to check the construction work status and found some workers of Incredible India Projects Pvt Ltd, buyer/owner of other office units in the ninth floor, were demolishing the constructed area which pertained to their office units, and they also came to know that the Sandhya Constructions and Estates Pvt Ltd and Incredible India Projects Pvt Ltd were encroaching of their property by criminally trespassing, demolishing the common walls, pulling down the common facilities on ninth-floor representatives of the buyer of the said office units and cheated them with criminal conspiracy,” said the FIR.  Accordingly, cases were booked under section 406, 420, 427, 448, 506 read with 34 of the IPC. Following an investigation, he was arrested from his place in Bangalore, police said.","['185', '320', '363A', '56', '250']"
"Bhopal: Police in Madhya Pradesh's Bhind district on Saturday registered a case against executive directors of Amazon India after busting a racket which allegedly sold ganja (cannabis) under the guise of selling a sweetener through the e-commerce platform. Amazon had said in a statement earlier that it does not allow sale of illegal products through its platform, and it was cooperating with the probe in the matter.  A case under section 38 of the Narcotic Drugs and Psychotropic Substances (NDPS) Act was registered against executive directors of Amazon India which operates as ASSL in the country, Bhind Superintendent of Police Manoj Kumar Singh told PTI. The FIR did not mention any individual official by name, he said. Section 38 deals with the role of companies and their managements in an offence related to narcotic substances. A case was registered under the NDPS Act at Gohad police station in the district on November 13 after 21.7 kilograms of ganja was seized from Gwalior residents Bijendra Tomar and Suraj alias Kallu Pawaiya, the SP said.  Their questioning led to the arrest of Mukul Jaiswal, another Gwalior resident, and purchaser Chitra Balmiki, a resident of Mehgaon in Bhind, he said. The investigation revealed that Pawaiya and Jaiswal had formed a company named 'Babu Tex' and got it registered on Amazon as a seller, Singh said. They supplied ganja from Visakhapatnam in Andhra Pradesh through the company under the guise of selling stevia, a plant-based sweetener, he said. Earlier this week, an Amazon spokesperson had said the company's platform enables third-party sellers to display, list and offer for sale products to customers directly.  The company does not allow the listing and sale of products that are prohibited under law in India, he had said. ""The issue was notified to us and we are currently investigating whether there is any non-compliance on part of the seller. We assure full cooperation and support required to investigating authorities, the spokesperson had added.","['359A', '359', '363A', '31B', '31C']"
"Hyderabad: A local court at LB Nagar on Thursday convicted a person for cheating the public to the tune of Rs 2.5 crore. According to police, the accused Maram Bhanumurthy (35), a resident of Neredmet, enjoyed a good reputation among people and began mobilising money from them for his chit fund business. After collecting approximately Rs 2.5 crore, he spent the money on personal luxuries before fleeing.  Based on a complaint from one of the victims, police registered a case and arrested Bhanumurthy. After Thursday’s trial, the court convicted Bhanumurthy to undergo a two-year rigorous imprisonment and imposed a fine of Rs 50,000.","['241', '242', '138', '357', '134']"
"HYDERABAD: The Narsingi police on Friday picked up a noted socialite Shilpa Chowdary in connection with a multi-crore cheating case in which she allegedly duped several high profile people. According to the police, Chowdary collected money from various people promising high interest and in some cases, with a false promise of investing in a top school owned by her relative. The police also said she had allegedly duped the victims to the tune of crores of rupees so far.  The Narsingi police, who registered an FIR against her last week and had been carrying out investigations, said Madhapur ACP Ch. Raghunandan Rao. Narsingi police inspector V. Shiva Kumar confirmed that Chowdary was picked up for questioning on Friday and that an investigation was underway. Meanwhile, sources said that Chowdary was involved in several cheating cases. “After promising high interest returns, she collected amounts running into crores and did not pay back. When confronted, she claimed that she gave the amounts to someone else and that they did not return them to her.  Her victims include high-profile personalities including actors and bureaucrats. It was also revealed that she had promised one of the victims that she would invest the money in a popular educational institution as she had a relative in the management. In another case, she allegedly mortgaged jewellery of a person and did not return the money, sources said. A noted Tollywood actor, along with his wife, also reportedly complained against the woman on Friday night. The police sources said many more complaints were likely to be lodged against her. ","['269A', '229', '233', '369', '187']"
"Hyderabad: Increasing cases of fuel thefts from parked trucks on highways have become a headache for the drivers and the owners alike. According to truck owners, a group of muggers break the fuel tank lock open and steal diesel using small pipes while the tired drivers are taking naps. As the Covid-19 restrictions have been eased, hundreds of trucks are moving along highways on a daily basis. The truck owners alleged that more than 50 such incidents of diesel thefts were taking place every day.  As per the statistics provided by the truck owners’ association, there are around 1.5 trucks and lorries in the state. Each lorry has a fuel tank with a capacity of 400 litres. Abdul Bari, member of Telangana Lorry Owners’ Association, who also owns lorries, said, “On Sunday, two of my lorries were targeted by these crooks in Peddapalli, on a highway, wherein around hundred litres of fuel was stolen.”
“More such incidents are taking place on the highways of Vijayawada and Warangal. The gangs which are involved in these activities are mostly from UP and Bihar. While trucks are parked, a small vehicle is intentionally parked beside these trucks. They insert a pipe in the tank by breaking its lock and fuel is sucked by the help of a motor. The whole process happens within minutes,” he said and added, “If the driver comes to know about the theft, these crooks attack the driver.”  Manchireddy Rajendar Reddy, president of this association, said such thefts are also committed by tea stall owners on highways. Some tea stalls that serve tea when these trucks are stopped, spike the tea and once the driver dozes, they empty half of the tank. Recently, two of such offenders have been apprehended by the police.” “These trucks basically generate revenue for the government as toll is paid for most of the routes. The authorities should provide safe parking areas for these trucks and lorries ensuring security and safety,” Rajendar Reddy said. ","['275', '323', '108', '124', '139A']"
"HYDERABAD: It was an unprecedented hearing that the Telangana High Court witnessed on Thursday laced with heated arguments when it took up the anticipatory bail petition of IAS trainee Mrugender Lal Banoth who has been charged with alleged rape of a woman at the National Police Academy (NPA) ending up with photos of a woman, said to be in the buff, being circulated leaving the victim in a state of shame and helplessness. However, on the request of the accused’s counsel that the future of the trainee officer will be at stake if he is arrested, Justice Lalitha granted 15-day interim bail ordering him to cooperate with the interrogation. The court also directed him to undergo a potency test.  The victim`s implead petition requesting the court to take up her contentions, too, before granting bail led to a twist in case. On Wednesday, Bhanoth’s counsel Devineni Radha Rani had argued that the rape case was lodged against her client as a counterblast by the victim as she was earlier booked in a case for circulating photos, allegedly in the nude, of the accused’s relative (woman) in a Telegram group she had created. The court was seeking the status of the case from the police. On Thursday, the police told the court that the phones and other electronic equipment with the obscene photos have been seized and sent to the forensic science laboratory (FSL) and a report was awaited. The police also submitted that seven witness were also examined in the rape case and they could not take further steps due to the court’s directions not to take any coercive steps against the accused.  Soon after, victim’s counsel S. Rajagopal stated that Bhanoth and his family were trying to mislead the court by cooking up a case against the victim and that photos purportedly in circulation were of the victim herself and not of Bhanoth’s cousin’s. He also submitted that before the case was registered against his client, Bhanoth’s father and former MLA Madan Lal and his wife visited the victim at her house to work out a compromise on two occasions. At this point, Bhanoth’s Counsel placed photos of the woman along with text messages and submitted that the victim impersonated as a male member of the Telegram group, and was forwarding photos of herself saying that it belongs to Bhanoth’s cousin.  Taking her defence further, she also quoted a Supreme Court observation that consensual sex with a promise of marriage does not amount to rape. Victim’s Counsel Rajagopal raised an objection and said that the Bhanoth’s Counsel was indulging in character assassination leadihg to some heated arguments. Interfering at this juncture, Justice Kanneganti Lalitha enquired with Assistant Public Prosecutor Md Vizarat about the FSL report. The Judge also questioned Bhanoth’s Counsel as to how a woman can circulate her own obscene photos and blame others. “Does any woman do such things?” She also asked, “What is the conduct of the trainee officer? Being a IPS trainee how could he go in for consensual sex and that too a the place of training? How will he go on to serve?”  The APP submitted that the FSL report would take time but submitted that the phone number from which the photos were forwarded was not in the name of the victim. However, the police had also booked another person as the second accused who had earlier used the same number. The APP also submitted that these two cases cannot be linked and citing a Supreme Court case said that the IAS trainee’s conduct amounts to rape and appealed to the court not to grant bail. Giving relief to Bhanoth’s parents, the court directed the police to issue notices to the parents if their presence is required. ","['352', '371D', '75', '360', '239B']"
"Hyderabad: Mystery shrouds the death of AK Rao, the CEO of Sujana Foundation, whose body was found by railway police on the tracks in Bangalore late Monday night. A resident of Srinagar colony in Banjara Hills, Rao was the father of popular playback singer Harini. Police are investigating the case as murder and are awaiting the post-mortem examination report to ascertain the cause of death.  Speaking to Deccan Chronicle, Bangalore railway police inspector, Shiva Kumar V, said that Rao had checked into The Chancery Pavilion hotel in Ashok Nagar on November 13 and had taken a cab to Yelahanka railway station on the night of November 22. A loco pilot on Nanded Express noticed the body and alerted Yelahanka station master, who called police and a team reached the spot early Tuesday morning. “We found the body about half-a-kilometre away from the station with deep cut-marks on the left wrist and the neck’s left side. We recovered a knife, blade and scissors from the spot. Medical practitioners, who conducted a spot inspection, opined that it looked like a case of suicide. However, the family members are alleging foul-play and murder. Accordingly, we have booked a case under section 302 of the IPC and shifted the body for post-mortem examination (PME). Further details will be known once we receive the PME report,” said the official, adding that there were no CCTV cameras in the place and that the family did not specify anyone who could have a motive to kill Rao.  The police said that they will be looking for a possible link between his death and a cheating case booked against him by a Bangalore-based businessman. A product of IIT-Bombay, Rao has earlier worked with Satyam Computers and Indian School of Business (ISB). He was presently the CEO of Sujana Foundation. He is survived by wife Girija, and daughters Harini and Shalini. Meanwhile, no case has been registered by the city police here.","['217', '96', '257', '257A', '32']"
"Mangaluru: Mangaluru City Police have arrested four persons for allegedly gang-raping and and murdering an 8-year-old girl in a tile factory in the outskirts of Mangaluru. The four accused have been identified as Manish Tirki (33) Jay Singh (21), and Mukesh Singh (20) and Muneem Singh (20).  The first three were working at the tile factory with the girl’s parents. Muneem Singh, who was working as a labourer at Puttur had helped the other three in the crime. While the first three sexually assaulted the girl, Muneem was standing guard. Giving details of the crime, Mangaluru City Police Commissioner N Shashi Kumar said that the victim’s parents hail from Jharkhand. The victim was one of their four children. On the day of the incident, the girl had gone out to play with her siblings. While the other three returned, the parents who couldn't find the girl had launched a search. Finally, around 6 pm the dead body of the girl was found in a drain near the factory.  Police registered a case under the Indian Penal Code and Protection of Children from Sexual Offences Act. Four teams comprising DCP (Law and Order), DCP (Crime), and ACPs were formed to probe the case, considering the sensitive nature of the crime. During the investigation, the police came to know that Jay Singh and Manish Tirki who lived in the same room had sexually harassed the girl several times earlier. A couple of days before the incident, Jay Singh, Mukesh Singh, Manish Tirki had planned to rape the girl. As the number of laborers is less on Sunday, they decided to execute their plan on November 21.  Mukesh Singh, Manish Tirki, and Jay Singh raped the girl in turn. When the girl started screaming Jay Singh strangulated the girl and killed her.","['6', '371D', '68', '159', '124']"
"Mangaluru: The Mangaluru City police have seized demonetized currency worth Rs.1.92 crores and arrested three persons. The seized notes are of Rs 500 and Rs 1,000 denominations. The total worth of the seized amount is Rs 1,92,50,000. The arrested are from Mangaluru and have been identified as Jubeer Hammamba, Deepak Kumar and Abdul Nasir. While Nasir and Hammabba are working as drivers, Deepak is into electric business.   The police seized the currency when the accused were transporting the notes to Mangaluru. Primary reports of the probe indicate that the accused got the notes from people in nearby districts like Chitradurga and Shivamogga. The trio promised people that the currency can be exchanged at 50 per cent of the value. They also asked for commission for exchanging the demonetised currency. Mangaluru City Police Chief N Shashi Kumar told reporters that the accused were produced before the court. The police will seek custody of the trio for further probe.  The Police want to verify the source of the currency notes and the people whom the accused wanted to hand over it.","['371C', '258A', '109', '371H', '134A']"
"Sangrur: Kashmiri students at an engineering college in Punjab's Sangrur were allegedly attacked by a group of students following the India-Pakistan T20 World Cup match on Sunday. Following the victory of Pakistan over India in yesterday's T20 World Cup match, a few students of the college, reportedly from Uttar Pradesh, went on a rampage and allegedly damaged the hostel rooms of the Kashmiri students.  The video of the scuffle has gone viral on social media platforms.
Following the incident, the Kashmiri students reportedly uploaded a video on social media alleging that their rooms were vandalised by a group of students hailing from Uttar Pradesh as they barged into their rooms while they were watching the match. The Kashmiri students also urged people to support them. An investigation into the incident is underway.","['312', '239AA', '143', '124', '145']"
"HYDERABAD: The managing director of Sandhya Conventions, Saranala Sreedhar Rao has been now booked for allegedly performing unnatural sex with his male masseur by the Sanathnagar police of Cyberabad. A source from Sanathnagar police confirmed the complaint received by the victim and said that cases were booked under sections 377 (sexual act against the order of nature), 341 (wrongful restraint), 323 (voluntarily causing hurt) and 506 (criminal intimidation) of the IPC against Rao, who was last arrested by the Raidurgam police from Bangalore on Wednesday night.  According to sources, a complaint was received on Thursday night, wherein the victim, a 34-year-old, stated that Sreedhar Rao had sexually assaulted him on the night of October 8. The police said Rao allegedly forced himself on the victim during a massage session and threatened him with a knife with dire consequences. Earlier on November 10, Sreedhar Rao was placed under arrest by the Raidurgam Police for cheating the public to the tune of Rs 11.24 crore. As many as 10 cases were lodged against him in the last one week in Cyberabad commissionerate alone by the victims he cheated, with the Gachibowli police registering a fresh one on Thursday. According to police sources, the accused Sreedhar Rao was recently involved in criminal cases, including three registered with the Raidurgam police, three with the Gachibowli police, one with Narsingi and another one with Miyapur police of Cyberabad. “The cases are still under investigation and as per the findings of the investigation, further action will be taken against the accused,” the police said, adding that more cheating complaints are expected in the next few days. ","['253', '363A', '162', '111', '228A']"
"HYDERABAD: YSRCP AP secretary Devireddy Siva Shankar Reddy, who was arrested by CBI here on Wednesday in connection with murder of Y S Vivekananda Reddy, was produced before the Kadapa court on Thursday Later, Siva Shankar Reddy was shifted to judicial remand. Tension gripped Kadapa prison when Kadapa MP YS Avinash Reddy and YSRCP activists reached the place to meet Siva Shankar Reddy. Police were unable to control the mob and allowed the Kadapa MP to meet Siva Shankar. Minutes later, Shankar Reddy was in jail.  It was learnt that CBI officials grilled him in connection with the murder case and on Vivekananda's former driver Shiek Dastagiri's confessional statement. Shankar Reddy reiterated that he was nowhere near the place of the murder. Shankar Reddy has been shifted to Kadapa on Prisoner Transit (PT) warrant.
Hours before the arrest, a letter on the name of Shankar Reddy was released stating that he was innocent in the case. When TDP was in power, a SIT was formed and its officials questioned him in connection with the murder case. Later, the case was transferred for further probe.  ""Some vested interests have been maligning me and sabotaging my political career. When the murder incident took place, I was in Hyderabad and I received the information from a close relative of Vivekananda Reddy,"" Shankar said.
Reacting to the arrest, Shankar Reddy's son Chaitanya Reddy said ""My father is suffering due to ill-health. The CBI must come out with real facts and nail the culprits.”","['352', '202', '360', '62', '75']"
"Hyderabad: The Managing Director of Sandhya Convention, Saranala Sreedhar Rao is allegedly absconding after getting bail from Cherlapally Central Jail on November 20. Cyberabad police officials from Narsingi and Raidurgam went to Rao’s residence in Nandagiri Hills to serve 41 CrPC notices. On finding that he was away, they stuck the notices to his door. The notices direct persons against whom a reasonable complaint has been made, or credible information has been received or a reasonable suspicion exists that he has committed a cognizable offence, to appear before the police or at such other place as may be specified in the notice.  Police officials learnt that Rao had not been to his house since getting bail. Officials from Cyberabad police, who received over a dozen complaints against the accused, said that they are waiting for High Court orders of the bail before proceeding further with their investigation. Meanwhile, the Sanatnagar police, who received a complaint of alleged sodomy by Rao, said that they are awaiting the FSL and doctor’s report as a part of their investigation. Gachibowli police officials, who received three complaints against Rao for cheating and defrauding victims, said that they will act as per orders from the High Court and seek a legal opinion. ","['111', '6', '316', '191', '243V']"
"HYDERABAD: Justice Lalitha Kanneganti of Telangana High Court on Friday granted bail to Saranala Sreedhar Rao, the ‘tainted’ managing director of Sandhya Conventions and Constructions & Estates Private Limited. This is the second High Court respite for the realtor in three days.  Rao was arrested in Bangalore by Telangana police on November 17 following a FIR lodged against him on a complaint by Chaithanya Krishna Murthy Gogineni, a designator partner of Rowa & Company Associates LLP at Raidurgam police station. He alleged that the petitioner has sold two office units in Sandhya Techno-1 and later the same was encroached upon by the petitioners after joining hands with Incredible India Projects Pvt Ltd. Rao approached the High Court on Thursday, for bail under Section 439 of CrPC. However, in the absence of the remand report, the petition was adjourned to Friday.  Justice Lalitha expressed displeasure at the functioning of the investigation officer of Raidurgam police station, who, in violation of the Criminal Procedure Code, 1973, took custody of Rao. The judge advised the public prosecutor, Prathap Reddy to urge senior police officials to sensitise their staff about the Criminal Procedure Code. M.S. Prasad, senior counsel representing the petitioner, complained about the highhanded behaviour of the police. He said that the petitioner was arrested in Bangalore by police in civil dress without following due procedures. He expressed fears that PT warrants could be issued against his client.  Meanwhile, public prosecutor Pratap Reddy argued that the bail petition itself was not maintainable. But as the court was inclined to hear the case on its merits, he said that there are 17 other cases and complaints against the petitioner, including allegations of cheating people. The police had no other option but to arrest him immediately. He also submitted that the petitioner was absconding from the time he got the first court relief. Justice Lalitha wondered why the petitioner was not arrested without issuing 41a notice when there were criminal antecedents. She took note of the fact that the Raidurgam inspector had served notice and arrested the petitioner on the same day in another case and that the concerned magistrate had rejected the remand faulting police.  The judge said “The conduct of the inspector makes it clear that he is unaware of the criminal procedure and Supreme Court guidelines in the Arnesh Kumar case”. The judge directed the Inspector to file a counter, responding to the violations.","['134A', '134', '258A', '109', '217']"
